label	Strain	Location	Host	Source	Owner	Organism	Bioproject	Count_gene_total	ANI	BUSCO_%Complete(C)	BUSCO_%Complete_and_SingleCopy(S)	BUSCO_%Complete_and_Duplicated(D)	BUSCO_%Fragmented(F)	BUSCO_%Missing(M)	Busco_TotalGroups(n)	BUSCO_Number_of_scaffolds	BUSCO_Number_of_contigs	BUSCO_Total_length	BUSCO_Percent_gaps	BUSCO_Scaffold_N50_MB	BUSCO_Contigs_N50_MB	CheckM_Completeness	CheckM_Contamination	CheckM_Strain heterogeneity	Assembly_level	Country	Estado
GCA_033376255.1	MX10-E4	Mexico: Guanajuato	Solanum lycopersicum	RefSeq	CINVESTAV	Clavibacter michiganensis subsp. michiganensis	PRJNA996097	NA	99.184097	96.6	96.6	0	1.7	1.7	116	1	1	3280072	0.003	3	3	96.49	0	0	Chromosome	Mexico	Guanajuato
GCA_030520985.1	C48	Israel	Solanum lycopersicum	RefSeq	Agricultural Research Organization - Volcani Institute	Clavibacter michiganensis	PRJNA966807	3226	99.092224	98.3	98.3	0	0.9	0.9	116	65	65	3385061	0	0.259	0.259	99.49	0	0	Contig	Israel	NA
V9XD4P_4	LCE3-24T	Mexico: Elota	Solanum lycopersicum	Cliente	Cliente	Clavibacter michiganensis	NA	NA	99.135925	98.3	98.3	0	0.9	0.9	116	4	4	3402834	0	3	3	99.49	0	0	NA	Mexico	Sinaloa
GCA_032655665.1	MX13-E99-1	Mexico: Guanajuato	Solanum lycopersicum	RefSeq	CINVESTAV	Clavibacter michiganensis subsp. michiganensis	PRJNA996097	NA	99.108932	98.3	98.3	0	0.9	0.9	116	184	184	3503071	0	0.064	0.064	99.49	0.73	33.33	Contig	Mexico	Guanajuato
GCA_020616195.1	CMM09	Mexico:Michoacan	Solanum lycopersicum	RefSeq	CIAD AC	Clavibacter michiganensis subsp. michiganensis	PRJNA770121	3204	99.362961	98.3	98.3	0	0.9	0.9	116	3	3	3365527	0	3	3	99.49	0.76	0	Complete Genome	Mexico	Michoacan
GCA_044004465.1	CMP	Mexico: Puebla	Solanum lycopersicum	RefSeq	Centro de Investigacion en Alimentacion y Desarrollo	Clavibacter michiganensis	PRJNA1120922	3343	99.080261	98.3	98.3	0	0.9	0.9	116	49	49	3459854	0	0.14	0.14	99.49	0	0	Contig	Mexico	Puebla
GCA_044029445.1	CMS2	Mexico: Sinaloa, Culiacan	Solanum lycopersicum	RefSeq	Centro de Investigacion en Alimentacion y Desarrollo	Clavibacter michiganensis	PRJNA1120922	3265	99.125198	98.3	98.3	0	0.9	0.9	116	3	3	3413198	0.003	3	3	99.49	0.76	0	Chromosome	Mexico	Sinaloa
GCA_030521145.1	C40	Israel	Solanum lycopersicum	RefSeq	Agricultural Research Organization - Volcani Institute	Clavibacter michiganensis	PRJNA966807	3135	99.206329	98.3	98.3	0	0.9	0.9	116	48	48	3289939	0	0.22	0.22	99.49	0	0	Contig	Israel	NA
GCA_032654945.1	MX14-E106-3	Mexico: Guanajuato	Solanum lycopersicum	RefSeq	CINVESTAV	Clavibacter michiganensis subsp. michiganensis	PRJNA996097	NA	99.159729	98.3	98.3	0	0.9	0.9	116	163	163	3374158	0	0.075	0.075	99.49	0.51	100	Contig	Mexico	Guanajuato
V9XD4P_6	SIN16	Mexico:Sinaloa	Solanum lycopersicum	Cliente	Cliente	Clavibacter michiganensis	NA	NA	99.160278	98.3	98.3	0	0.9	0.9	116	3	3	3361701	0	3	3	99.49	0	0	NA	Mexico	Sinaloa
GCA_009796045.1	CFBP7488	France	Solanum lycopersicum	RefSeq	University of California	Clavibacter michiganensis subsp. michiganensis	PRJNA476162	3121	99.013016	98.3	98.3	0	0.9	0.9	116	55	55	3299275	0	0.129	0.129	99.49	0	0	Contig	France	NA
GCA_023520835.1	A4758	China	Solanum lycopersicum	RefSeq	University of Hawaii	Clavibacter michiganensis subsp. michiganensis	PRJNA477869	3150	99.230965	98.3	98.3	0	0.9	0.9	116	2	2	3337866	0	3	3	99.49	0	0	Complete Genome	China	NA
GCA_030521445.1	C18	Israel	Solanum lycopersicum	RefSeq	Agricultural Research Organization - Volcani Institute	Clavibacter michiganensis	PRJNA966807	3166	99.193512	98.3	98.3	0	0.9	0.9	116	45	45	3346254	0	0.258	0.258	99.49	0	0	Contig	Israel	NA
GCA_030521465.1	C8	Israel	Solanum lycopersicum	RefSeq	Agricultural Research Organization - Volcani Institute	Clavibacter michiganensis	PRJNA966807	3253	99.08519	98.3	98.3	0	0.9	0.9	116	63	63	3415064	0	0.255	0.255	99.49	0	0	Contig	Israel	NA
GCA_028622935.1	CMM04	Mexico:Jalisco	Solanum lycopersicum	RefSeq	CIAD AC	Clavibacter michiganensis subsp. michiganensis	PRJNA932320	3198	99.37616	98.3	98.3	0	0.9	0.9	116	3	3	3365512	0	3	3	99.49	0.76	0	Complete Genome	Mexico	Jalisco
GCA_020616175.1	CMM84	Mexico:Sinaloa	Solanum lycopersicum	RefSeq	CIAD AC	Clavibacter michiganensis subsp. michiganensis	PRJNA770121	3202	99.340469	98.3	98.3	0	0.9	0.9	116	3	3	3365527	0	3	3	99.49	0.76	0	Complete Genome	Mexico	Sinaloa
GCA_009796185.1	CFBP5842	Brazil	Solanum lycopersicum	RefSeq	University of California	Clavibacter michiganensis subsp. michiganensis	PRJNA476174	3239	99.156555	98.3	98.3	0	0.9	0.9	116	127	127	3343022	0	0.056	0.056	99.49	0	0	Contig	Brazil	NA
GCA_030520925.1	C53	Israel	Solanum lycopersicum	RefSeq	Agricultural Research Organization - Volcani Institute	Clavibacter michiganensis	PRJNA966807	3145	99.152023	97.4	97.4	0	0.9	1.7	116	46	46	3317376	0	0.301	0.301	97.98	0	0	Contig	Israel	NA
GCA_009796145.1	CFBP1940	Spain	Solanum lycopersicum	RefSeq	University of California	Clavibacter michiganensis subsp. michiganensis	PRJNA476170	3118	99.185684	98.3	98.3	0	0.9	0.9	116	35	35	3296592	0	0.213	0.213	99.49	0	0	Contig	Spain	NA
